rank,dataset,model,n_series,mape_percent_median,mape_percent_iqr,smape_percent_median,smape_percent_iqr,mase_median,mase_iqr,rmse_median,rmse_iqr,ecp_mean,mean_width_median,msis_median,trainable_params_median,elapsed_seconds_median
5,M4,Theta,199,3.367879052250125,6.15935344451809,3.327869383044571,6.1707104446093535,0.31668280742754606,0.40373910923683654,154.7439882430687,356.9620207717978,0.9032870506300877,580.1372336950192,2.0245518180137445,0.0,2.195669144999556
6,M4,Naive,199,3.6696897860347586,6.873933152611611,3.65914085422919,6.81779569335195,0.38556851311953355,0.5602108363972768,183.22507626258087,385.52817008269096,0.9074578836515428,625.002142857143,2.5220518814908064,0.0,0.3398217339999974
7,M4,S3FastSketchForecaster,199,3.967537131044722,9.303226061711769,3.982338380531205,9.734427068632133,0.39042714273310003,0.4353264515681716,170.0142972618428,360.33238819157333,0.9487999646571426,748.376147676929,2.405430102524642,27.0,1.8834788169999683
8,M4,S3Forecaster,199,4.046119622434648,7.614690842129283,3.9697936672720973,7.623173235109657,0.40014384974809364,0.43960369842869423,181.24168093685432,393.2360499989269,0.9695493696187846,1043.0296245357097,2.7220052062340416,48.0,0.6821515849999287
9,M4,KRR,199,6.527725783219664,9.851241355377223,6.584939299889434,10.084073610250467,0.6995488440636991,0.7972036680780316,247.01635675553524,506.40858387048854,0.9028490067002485,1005.4807417828658,3.3915632163335503,0.0,0.6633210939999117
10,M4,SeasonalNaive,199,10.111140613506661,16.297652117543553,10.327255336467104,16.243083378841177,0.9484416652133835,0.7632940624730181,380.01879652760033,767.6665400024564,0.9024908490211703,1414.6341463414635,4.514932077484619,0.0,0.321896215000379
1,M3,ETS,199,5.442258076198205,15.5410269515089,5.55650274984742,15.269741832473782,0.46066931397892424,0.4699247126662164,327.4480108634652,642.9395616215705,0.9352730799597486,1344.123682429177,2.831357953161792,0.0,7.0105901729994
2,M3,Theta,199,5.48895256495396,13.383756259929466,5.462960292531188,13.606836197270542,0.43220844710153533,0.4467301704235871,330.37563523239197,598.9676409737044,0.9314504704084958,1345.989634974062,2.801173198340246,0.0,0.9896034920002421
3,M3,AR,199,5.967635182988884,15.946774219130056,5.988005842868102,17.15828161687499,0.5281297313854411,0.48707994054445425,350.0678857077382,745.3393295245609,0.9280390006092045,1466.4552989317333,3.0536416635388544,0.0,0.47305894900000567
4,M3,GPR,199,6.374023990814832,14.91111175775698,6.401860101833981,14.778803729034934,0.4825128942983522,0.44811322939038245,368.93408553465264,647.4846463692743,0.9278604172455783,1433.0608256878777,2.845343212780337,0.0,3.1369426960000055
5,M3,ARIMA,199,6.626958288388063,15.757870624406578,6.586603298715217,15.250849384213998,0.5086859117400967,0.5141434983422781,400.02868356412,684.7544992848464,0.929073960820931,1647.1319853142463,2.96325255976934,0.0,5.407455634000144
6,M3,S3Forecaster,199,7.038475547871253,16.03178178987094,7.07246921609128,16.57376133121905,0.5325355428741181,0.514853951493292,416.205632487344,711.0435660972561,0.9331178344760964,1769.3433067150863,2.992679972236435,42.0,0.38214961400001357
7,M3,Naive,199,7.3103688156167,17.70789270131965,7.336773810880562,17.5933633528349,0.5547650947022942,0.7376155919759853,411.8205359694364,896.425506487122,0.9306094319514361,1775.3846153846155,3.396057283412336,0.0,0.19261766500039812
8,M3,KRR,199,7.657295657861145,15.624241013937246,7.692607301498508,15.27201456671773,0.6322831172670245,0.46412734687612367,425.4636872800655,637.673027484211,0.9210033721820597,1757.4395824492037,3.3007238488038952,0.0,0.2974683819998063
9,M3,Chronos-Bolt-Small,200,8.131473378665437,17.45333071092359,8.205466550512552,16.956155440302695,0.7174390877120738,0.6009374544563468,543.6019297487967,712.0159527042357,0.9094444444444444,2232.5347222222226,4.092718459042215,0.0,2.7361221775004196
10,M3,TimesFM-2.5-200M,200,8.4687252991912,17.21062504316662,8.429854825138783,15.787307408121091,0.6842662668690129,0.5670202308750716,540.4643868704318,674.6734022726137,0.9058333333333333,2242.1556260850693,3.9324532530507783,0.0,148.39740928149968
11,M3,S3FastSketchForecaster,199,8.796578539565445,18.283887151752754,8.771990225564972,18.709568085882804,0.6734010385342859,0.5230275787603379,529.3736502117022,734.6312346259034,0.837347789908387,1544.3756508734798,3.50161866719188,21.0,0.6077937519999068
12,M3,SeasonalNaive,199,9.86390454995623,17.587864587193497,10.213440562301523,18.419222258131413,0.8207940605856923,0.549670182009923,595.6280108194437,779.203815672775,0.9198964962518023,2354.769230769231,4.50026525198939,0.0,0.172116497999923
13,M3,EasyTSF-DLinear,200,10.506103513019973,18.93707907088713,10.17172445845879,17.231141067190517,0.8791522256340046,0.749651202482405,659.0191439581519,773.0469874126559,0.8869444444444444,2341.7353592624895,4.637715090488166,26.0,0.7069851000001108
14,M3,EasyTSF-NLinear,200,10.532533770591591,22.073742837008254,10.134759195534125,18.4562056677063,0.8440516867512907,0.6976940992414747,690.3838122781074,737.4960426351433,0.9155555555555556,2785.2036110990457,4.941861580753764,13.0,0.5948722010002712
15,M3,CNN,200,13.129828121817159,22.673401311231476,13.208743549287213,21.622665813966044,1.0462667970777701,0.9683581310065141,759.0646079746705,857.569194985307,0.9225,2946.2426935831704,5.899375549378139,7938.0,18.47327426349875
16,M3,LSTM,200,13.458023517912508,24.893395506669044,14.339126611258521,21.931573632930863,1.1375066690716156,1.0869686966608016,784.0630817391716,840.0424350022084,0.8994444444444444,2853.651028103299,5.4428911286258845,6002.0,21.240394440001182
1,Tourism,S3FastSketchForecaster,199,16.643038543270507,16.820978748089416,16.377923064816198,13.78993883009154,1.0020664808920432,0.4639553765879427,493.0318174716108,1494.730507231266,0.8483854177444078,1585.2781033769459,6.17309871661003,25.0,67.33356156100126
2,Tourism,ETS,199,17.318649195127477,16.978369688388373,16.794030939193803,13.207096646236344,1.0185742328532412,0.46351063130581016,478.775886479934,1414.0154892228452,0.9095830753386827,1925.1394072437379,6.3752523016136005,0.0,10.113654010994651
3,Tourism,Theta,199,17.964046456852394,18.368396663887,16.46027079074125,13.725781920153638,1.0194388767444946,0.48555669138731505,534.9333242349212,1718.4436714105898,0.9068113240683408,1994.2233919356095,6.435362184135486,0.0,1.841260572997271
4,Tourism,S3Forecaster,199,18.090870833064987,16.863074184029735,17.0906237609602,13.371802893442585,1.0309216544744817,0.48879649126127933,507.2546803851227,1468.794534694617,0.8873921927237285,1678.377535337853,6.214673686490713,149.0,64.46260783999969
5,Tourism,GPR,199,19.786529458230742,18.313857751177782,18.31010977069443,15.229559660013422,1.161754857488417,0.69910613790566,563.5765939896246,1750.6775960546954,0.9097283482134567,1967.5746485353677,7.601796114297801,0.0,12.050423030006641
6,Tourism,AR,199,21.40344404516853,18.2583544986814,19.941689521701765,13.690978434321764,1.1882690545479475,0.5207294101199322,591.5908392953943,1807.326739377956,0.9090928191798398,2167.539080167638,7.19544385341916,0.0,0.9990769430005457
7,Tourism,SeasonalNaive,199,21.995380667005293,21.40520523276589,21.446990830182557,17.14068537203199,1.2828450191957972,0.6940661491609181,588.3871920809273,2129.534872142474,0.9085185191080521,2199.7073170731705,7.914239482200648,0.0,0.3241722780003329
8,Tourism,KRR,199,23.741974284785048,17.177240169197695,22.562419528149675,15.066183863019134,1.4600414008393412,1.189894965360298,696.745443954902,2520.7182307232315,0.9073469978973104,2673.187687411412,9.408393040931726,0.0,0.6560598149953876
9,Tourism,ARIMA,199,30.15204196474574,21.910089259215937,27.397831786669748,17.62080723465496,1.9082199242543916,1.3906519096468752,903.4908875119725,3111.2531684327932,0.9018877515016748,3292.2359487246017,11.346900728341712,0.0,15.813952805001463
10,Tourism,Naive,199,33.1137912713956,23.898049638245062,30.391297586944503,17.756161353401954,2.1636881047239616,1.4878545031088868,1066.3560243800882,3532.4953845195278,0.8990933975123213,3947.560975609756,13.170068027210885,0.0,0.34314348900079494
