dataset,model,regime,n_series,n_points,mape_median,mape_percent_median,mape_percent_iqr,smape_percent_median,smape_percent_iqr,mase_median,mase_iqr,rmse_median,rmse_iqr,ecp_mean,mean_width_median,msis_median
CIF,KRR,shock,25,,0.1123929202768366,11.23929202768367,,10.527690993642048,,0.6594103677521491,,213.1258477287884,,0.9153796203796205,,3.5955880060564778
CIF,LSTM,non_shock,66,674,,16.008931271784157,23.877322282548327,15.62762417827929,19.090903346439937,1.5608374636999605,1.7353321145803626,151.5204150664097,393.96105705214364,0.921541169268442,612.2422485251521,7.323500190312473
CIF,LSTM,shock,14,64,,24.302729601112972,28.989126335540927,27.807141664111093,16.043733143471492,4.982401121249437,2.3582213460418044,342.60346209306664,261.91198367453296,0.6369047619047619,763.8277000462763,18.230861727839237
CIF,Naive,non_shock,40,,0.0992725610685878,9.927256106858781,,9.844762499928063,,1.033154812146948,,68.74448210793746,,0.9318181818181819,,5.920240464145613
CIF,Naive,shock,25,,0.0934347173310971,9.34347173310972,,9.209770893015389,,0.6117631517675374,,184.7668605682668,,0.9497052947052947,,3.4001281899835547
CIF,S3FastSketchForecaster,non_shock,40,,0.038207223795616946,3.8207223795616976,,3.8242712811349153,,0.5838193866855983,,39.37983114407149,,0.9238636363636363,,2.7927909132266437
CIF,S3FastSketchForecaster,shock,25,,0.0777091716192942,7.770917161929423,,7.282165059338601,,0.5610184533655522,,164.5728917835078,,0.8848801198801199,,2.9145820758405216
CIF,S3Forecaster,non_shock,40,,0.04045071192434595,4.0450711924346034,,4.030627832441875,,0.5963955631414197,,41.51372453773613,,0.9568181818181818,,3.0298993418477647
CIF,S3Forecaster,shock,25,,0.0793951290665525,7.939512906655249,,8.109412889759486,,0.5610184533655522,,164.64968389422248,,0.9523376623376624,,3.003926522371628
CIF,SeasonalNaive,non_shock,40,,0.0735054236815323,7.350542368153235,,7.367748133414439,,0.9715383551599945,,59.61599841261963,,0.9301136363636363,,4.960558710042382
CIF,SeasonalNaive,shock,25,,0.1693209983669268,16.93209983669269,,16.310100273157378,,1.003980751041959,,288.1150449770753,,0.921037296037296,,4.951683917501348
CIF,Theta,non_shock,40,,0.0427658912054672,4.276589120546721,,4.316889422881687,,0.6600011869772004,,44.404579101512645,,0.9375,,3.516008745411025
CIF,Theta,shock,25,,0.0876046045591529,8.760460455915297,,8.345988964166681,,0.5484316792584863,,155.19431886608254,,0.9382079032079033,,3.091625470551015
CIF,TimesFM-2.5-200M,non_shock,66,674,,6.260772905044725,10.928828745987174,6.251829249392374,11.161634679052415,0.5215604785232715,0.5053057616347942,53.865208170418356,168.61873739809306,0.935376492194674,265.843671660341,3.4328863014545306
CIF,TimesFM-2.5-200M,shock,14,64,,17.636569089488788,9.707842117056622,19.65098728772103,14.046688399201066,2.5969550858817225,1.9693900640123791,157.13193047870604,153.08986764275102,0.4880952380952381,353.61899613074723,8.055117886097076
M4,AR,non_shock,83,,0.0134055290835652,1.3405529083565266,,1.3421607423737634,,0.3137451186167242,,81.3247008332203,,0.9173625779227655,,1.903356941456763
M4,AR,shock,116,,0.0500116105463096,5.001161054630962,,5.019245277446938,,0.3716444469301373,,220.553419032541,,0.9250643422878795,,2.524038107227441
M4,ARIMA,non_shock,83,,0.015981843835274,1.5981843835274092,,1.587738593310107,,0.3058094282288673,,81.52244297579995,,0.9040321944174432,,1.978566878131195
M4,ARIMA,shock,116,,0.052478212849878206,5.247821284987828,,5.2312088921538695,,0.38710189259204986,,214.41323402393198,,0.9194220431442856,,2.6662316122833536
M4,ETS,non_shock,83,,0.0122719043546311,1.227190435463118,,1.2331180644819644,,0.2887874083196505,,74.61259368406343,,0.9102467635504584,,1.586447829485991
M4,ETS,shock,116,,0.0485772502894783,4.857725028947833,,4.897934294275494,,0.36420051738816317,,243.20052727713633,,0.9253106603822574,,2.2755535816393087
M4,GPR,non_shock,83,,0.0136113561810277,1.3611356181027776,,1.3657016436766,,0.3002617930002952,,85.76368947559156,,0.9209718691742704,,1.862595260173268
M4,GPR,shock,116,,0.0506183378955663,5.061833789556637,,5.095730953606424,,0.39374950006782683,,224.42492851142276,,0.9148951723342359,,2.5967057500285886
M4,KRR,non_shock,83,,0.0385166027775431,3.85166027775432,,3.878839935873936,,0.9157869725635208,,205.45969856488887,,0.899050147742716,,3.760395315066512
M4,KRR,shock,116,,0.0861282665877744,8.612826658777443,,8.561302321581831,,0.513824354852248,,294.5341107205493,,0.9055671557819314,,2.9977585949550036
M4,Naive,non_shock,83,,0.0166859676975657,1.6685967697565731,,1.6600663506630753,,0.2962850472855474,,91.26122061265384,,0.9100004241795988,,2.194426383197496
M4,Naive,shock,116,,0.0574816909764538,5.748169097645386,,5.646847725757217,,0.45751736962192824,,276.3602671365169,,0.9056386520668132,,2.8225590442942075
M4,S3FastSketchForecaster,non_shock,83,,0.0173016452954728,1.7301645295472865,,1.748941977302267,,0.344222527504434,,96.31381831636966,,0.9501452834825357,,2.0961432522441856
M4,S3FastSketchForecaster,shock,116,,0.0658926863709847,6.589268637098478,,6.463931741226057,,0.42370251597697894,,246.81114556937726,,0.9478373658424217,,2.70114221232187
